"Moving Violations",,
"104th Precinct",,
"   March ",,
104sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,1
"Brake Lights (Defect.or Improper)",0,21
"Bus Lane, Driving in",0,0
"Cell Phone",85,272
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",36,110
"Disobey Traffic Control Device",126,349
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",15,52
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",0,9
"Improper Lights",0,0
"Improper Passing",1,6
"Improper Turn",39,87
"Improper/Missing Plates",1,13
"Not Giving R of W to Pedes.",60,141
"Not Giving R of W to Veh.",4,10
"One Way Street",0,0
"Pavement Markings",0,1
"Safety Belt",68,284
"School Bus, Passing Stopped",1,1
Speeding,78,176
Spillback,2,4
"Tinted Windows",97,268
"Truck Routes",8,44
U-Turn,3,8
Uninspected,4,14
Uninsured,4,44
"Unlicensed Operator",41,151
Unregistered,10,31
"Unsafe Lane Change",1,5
"Other Movers",66,199
"104    TOTAL Movers ",751,2303
"* All figures are preliminary and subject to change.",,
