"Moving Violations",,
"120th Precinct",,
"   March ",,
120sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,3
"Brake Lights (Defect.or Improper)",19,45
"Bus Lane, Driving in",0,0
"Cell Phone",72,151
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",80,212
"Disobey Traffic Control Device",231,562
"Equipment (Other)",7,18
"Fail to Keep Right",1,1
"Fail to Signal",61,139
"Following Too Closely",2,3
"Headlights (Defect. or Improper)",38,124
"Improper Lights",2,2
"Improper Passing",3,11
"Improper Turn",1,7
"Improper/Missing Plates",7,31
"Not Giving R of W to Pedes.",21,58
"Not Giving R of W to Veh.",4,16
"One Way Street",0,3
"Pavement Markings",6,22
"Safety Belt",143,257
"School Bus, Passing Stopped",2,2
Speeding,82,188
Spillback,0,1
"Tinted Windows",157,274
"Truck Routes",0,0
U-Turn,2,3
Uninspected,11,26
Uninsured,42,108
"Unlicensed Operator",142,335
Unregistered,34,72
"Unsafe Lane Change",0,1
"Other Movers",59,147
"120    TOTAL Movers ",1230,2822
"* All figures are preliminary and subject to change.",,
