"Moving Violations",,
"28th Precinct",,
"   March ",,
028sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",2,5
"Brake Lights (Defect.or Improper)",11,45
"Bus Lane, Driving in",5,14
"Cell Phone",63,178
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",47,179
"Disobey Traffic Control Device",206,534
"Equipment (Other)",5,21
"Fail to Keep Right",0,0
"Fail to Signal",6,30
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",10,43
"Improper Lights",0,0
"Improper Passing",3,4
"Improper Turn",134,288
"Improper/Missing Plates",1,3
"Not Giving R of W to Pedes.",28,100
"Not Giving R of W to Veh.",6,14
"One Way Street",1,3
"Pavement Markings",2,3
"Safety Belt",48,187
"School Bus, Passing Stopped",1,1
Speeding,14,38
Spillback,2,6
"Tinted Windows",23,86
"Truck Routes",11,28
U-Turn,34,204
Uninspected,2,9
Uninsured,23,54
"Unlicensed Operator",17,56
Unregistered,11,23
"Unsafe Lane Change",3,5
"Other Movers",37,124
"028    TOTAL Movers ",756,2285
"* All figures are preliminary and subject to change.",,
