"Moving Violations",,
Bronx,,
"   March ",,
pbbxsum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",40,83
"Brake Lights (Defect.or Improper)",491,1539
"Bus Lane, Driving in",13,45
"Cell Phone",572,1553
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Steady Red Signal",434,1304
"Disobey Traffic Control Device",1658,4533
"Equipment (Other)",35,106
"Fail to Keep Right",2,9
"Fail to Signal",183,684
"Following Too Closely",8,20
"Headlights (Defect. or Improper)",504,1579
"Improper Lights",14,41
"Improper Passing",12,43
"Improper Turn",1139,2786
"Improper/Missing Plates",36,103
"Not Giving R of W to Pedes.",411,1308
"Not Giving R of W to Veh.",22,84
"One Way Street",17,47
"Pavement Markings",161,426
"Safety Belt",558,1640
"School Bus, Passing Stopped",72,171
Speeding,732,1913
Spillback,15,68
"Tinted Windows",1591,4155
"Truck Routes",28,93
U-Turn,108,413
Uninspected,21,88
Uninsured,674,1803
"Unlicensed Operator",610,1769
Unregistered,199,546
"Unsafe Lane Change",45,180
"Other Movers",306,941
"PBBX   TOTAL Movers ",10711,30074
"* All figures are preliminary and subject to change.",,
