25th Precinct,,
   March ,,
025sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,3,8
Brake Lights (Defect.or Improper),12,55
"Bus Lane, Driving in",0,1
Cell Phone,171,423
Commercial Veh on Pkwy,0,0
Defective Brakes,2,3
Disobey Steady Red Signal,54,153
Disobey Traffic Control Device,81,220
Equipment (Other),7,9
Fail to Keep Right,0,0
Fail to Signal,13,39
Following Too Closely,0,0
Headlights (Defect. or Improper),6,26
Improper Lights,0,3
Improper Passing,1,1
Improper Turn,124,427
Improper/Missing Plates,4,21
Not Giving R of W to Pedes.,18,122
Not Giving R of W to Veh.,0,1
One Way Street,5,22
Pavement Markings,1,9
Safety Belt,178,388
"School Bus, Passing Stopped",0,1
Speeding,14,38
Spillback,0,0
Tinted Windows,120,317
Truck Routes,18,31
U-Turn,18,57
Uninspected,1,9
Uninsured,53,135
Unlicensed Operator,39,108
Unregistered,16,34
Unsafe Lane Change,0,4
Other Movers,54,149
025    TOTAL Movers ,1013,2814
