23rd Precinct,,
   March ,,
023sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,2
Brake Lights (Defect.or Improper),7,25
"Bus Lane, Driving in",0,1
Cell Phone,181,484
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,73,196
Disobey Traffic Control Device,39,113
Equipment (Other),6,14
Fail to Keep Right,0,0
Fail to Signal,14,25
Following Too Closely,0,0
Headlights (Defect. or Improper),7,38
Improper Lights,0,0
Improper Passing,2,2
Improper Turn,73,180
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,35,144
Not Giving R of W to Veh.,1,2
One Way Street,2,2
Pavement Markings,2,4
Safety Belt,23,104
"School Bus, Passing Stopped",3,3
Speeding,12,30
Spillback,0,0
Tinted Windows,27,61
Truck Routes,2,6
U-Turn,0,2
Uninspected,0,0
Uninsured,2,7
Unlicensed Operator,18,35
Unregistered,1,3
Unsafe Lane Change,2,7
Other Movers,21,38
023    TOTAL Movers ,553,1528
