77th Precinct,,
   March ,,
077sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,4,12
Brake Lights (Defect.or Improper),71,231
"Bus Lane, Driving in",27,96
Cell Phone,86,214
Commercial Veh on Pkwy,0,0
Defective Brakes,1,1
Disobey Steady Red Signal,147,300
Disobey Traffic Control Device,216,699
Equipment (Other),0,0
Fail to Keep Right,7,8
Fail to Signal,59,180
Following Too Closely,1,4
Headlights (Defect. or Improper),91,310
Improper Lights,0,0
Improper Passing,7,13
Improper Turn,114,250
Improper/Missing Plates,0,3
Not Giving R of W to Pedes.,67,106
Not Giving R of W to Veh.,9,24
One Way Street,6,16
Pavement Markings,48,79
Safety Belt,93,196
"School Bus, Passing Stopped",5,5
Speeding,79,246
Spillback,4,16
Tinted Windows,152,312
Truck Routes,0,0
U-Turn,12,25
Uninspected,3,13
Uninsured,64,205
Unlicensed Operator,53,169
Unregistered,32,74
Unsafe Lane Change,3,7
Other Movers,122,329
077    TOTAL Movers ,1583,4143
