40th Precinct,,
   March ,,
040sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,5
Brake Lights (Defect.or Improper),78,272
"Bus Lane, Driving in",0,0
Cell Phone,70,145
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,34,149
Disobey Traffic Control Device,146,380
Equipment (Other),22,55
Fail to Keep Right,0,2
Fail to Signal,3,28
Following Too Closely,0,0
Headlights (Defect. or Improper),136,317
Improper Lights,0,0
Improper Passing,3,8
Improper Turn,137,295
Improper/Missing Plates,6,13
Not Giving R of W to Pedes.,71,172
Not Giving R of W to Veh.,1,6
One Way Street,2,8
Pavement Markings,7,38
Safety Belt,37,92
"School Bus, Passing Stopped",4,5
Speeding,79,228
Spillback,0,4
Tinted Windows,134,439
Truck Routes,0,0
U-Turn,4,21
Uninspected,0,4
Uninsured,117,337
Unlicensed Operator,78,236
Unregistered,17,49
Unsafe Lane Change,1,6
Other Movers,27,69
040    TOTAL Movers ,1215,3383
