113th Precinct,,
   March ,,
113sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,2,6
Brake Lights (Defect.or Improper),60,169
"Bus Lane, Driving in",0,0
Cell Phone,109,236
Commercial Veh on Pkwy,0,1
Defective Brakes,0,1
Disobey Steady Red Signal,35,86
Disobey Traffic Control Device,81,188
Equipment (Other),3,30
Fail to Keep Right,0,0
Fail to Signal,3,7
Following Too Closely,2,2
Headlights (Defect. or Improper),21,142
Improper Lights,0,7
Improper Passing,0,1
Improper Turn,165,359
Improper/Missing Plates,0,3
Not Giving R of W to Pedes.,20,41
Not Giving R of W to Veh.,3,9
One Way Street,0,0
Pavement Markings,6,8
Safety Belt,88,215
"School Bus, Passing Stopped",1,2
Speeding,47,70
Spillback,1,1
Tinted Windows,109,307
Truck Routes,4,14
U-Turn,5,8
Uninspected,2,10
Uninsured,45,168
Unlicensed Operator,87,228
Unregistered,17,52
Unsafe Lane Change,1,3
Other Movers,62,185
113    TOTAL Movers ,979,2559
