49th Precinct,,
   March ,,
049sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,1
Brake Lights (Defect.or Improper),61,180
"Bus Lane, Driving in",1,1
Cell Phone,41,132
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,11,36
Disobey Traffic Control Device,143,361
Equipment (Other),1,3
Fail to Keep Right,0,1
Fail to Signal,20,60
Following Too Closely,0,5
Headlights (Defect. or Improper),37,146
Improper Lights,1,2
Improper Passing,0,3
Improper Turn,38,92
Improper/Missing Plates,11,19
Not Giving R of W to Pedes.,13,77
Not Giving R of W to Veh.,3,9
One Way Street,0,0
Pavement Markings,8,22
Safety Belt,75,261
"School Bus, Passing Stopped",0,1
Speeding,58,129
Spillback,0,1
Tinted Windows,131,236
Truck Routes,0,0
U-Turn,5,72
Uninspected,0,4
Uninsured,40,105
Unlicensed Operator,65,157
Unregistered,9,33
Unsafe Lane Change,2,11
Other Movers,10,33
049    TOTAL Movers ,785,2193
