Patrol Bureau,,
   March ,,
patrolsum,,
"",MTD   2015,YTD   2015
Backing Unsafely,138,376
Brake Lights (Defect.or Improper),1457,4475
"Bus Lane, Driving in",60,234
Cell Phone,6846,17457
Commercial Veh on Pkwy,10,24
Defective Brakes,10,23
Disobey Steady Red Signal,4166,11009
Disobey Traffic Control Device,12947,34006
Equipment (Other),219,615
Fail to Keep Right,47,93
Fail to Signal,1972,5819
Following Too Closely,53,120
Headlights (Defect. or Improper),1452,5035
Improper Lights,219,692
Improper Passing,234,755
Improper Turn,6594,16950
Improper/Missing Plates,225,631
Not Giving R of W to Pedes.,3135,8601
Not Giving R of W to Veh.,266,786
One Way Street,219,659
Pavement Markings,1133,3225
Safety Belt,6428,16712
"School Bus, Passing Stopped",185,443
Speeding,3461,8952
Spillback,219,622
Tinted Windows,7493,18658
Truck Routes,271,833
U-Turn,443,1548
Uninspected,232,676
Uninsured,2973,8015
Unlicensed Operator,4133,11163
Unregistered,872,2224
Unsafe Lane Change,460,1398
Other Movers,3754,9547
PATROL TOTAL Movers ,72326,192376
