48th Precinct,,
   March ,,
048sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,2,2
Brake Lights (Defect.or Improper),37,105
"Bus Lane, Driving in",1,1
Cell Phone,63,216
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,58,124
Disobey Traffic Control Device,94,233
Equipment (Other),0,7
Fail to Keep Right,1,1
Fail to Signal,17,87
Following Too Closely,3,3
Headlights (Defect. or Improper),49,189
Improper Lights,1,1
Improper Passing,1,3
Improper Turn,84,280
Improper/Missing Plates,0,1
Not Giving R of W to Pedes.,11,51
Not Giving R of W to Veh.,1,11
One Way Street,2,5
Pavement Markings,42,94
Safety Belt,44,117
"School Bus, Passing Stopped",4,7
Speeding,83,223
Spillback,1,23
Tinted Windows,132,322
Truck Routes,5,17
U-Turn,5,22
Uninspected,0,3
Uninsured,29,83
Unlicensed Operator,48,175
Unregistered,11,34
Unsafe Lane Change,1,2
Other Movers,30,74
048    TOTAL Movers ,860,2516
