Manhattan South,,
   March ,,
pbmssum,,
"",MTD   2015,YTD   2015
Backing Unsafely,11,43
Brake Lights (Defect.or Improper),150,458
"Bus Lane, Driving in",3,30
Cell Phone,1058,2847
Commercial Veh on Pkwy,0,2
Defective Brakes,5,5
Disobey Steady Red Signal,609,1707
Disobey Traffic Control Device,1850,5174
Equipment (Other),32,81
Fail to Keep Right,3,7
Fail to Signal,324,1003
Following Too Closely,6,11
Headlights (Defect. or Improper),133,498
Improper Lights,60,141
Improper Passing,47,230
Improper Turn,1347,3511
Improper/Missing Plates,22,61
Not Giving R of W to Pedes.,474,1295
Not Giving R of W to Veh.,12,40
One Way Street,58,160
Pavement Markings,219,576
Safety Belt,753,1957
"School Bus, Passing Stopped",3,11
Speeding,78,263
Spillback,118,329
Tinted Windows,219,558
Truck Routes,22,88
U-Turn,37,125
Uninspected,11,20
Uninsured,241,647
Unlicensed Operator,186,536
Unregistered,67,162
Unsafe Lane Change,251,786
Other Movers,520,1288
PBMS   TOTAL Movers ,8929,24650
