"Moving Violations",,
"Queens South",,
"   March ",,
pbqssum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",6,28
"Brake Lights (Defect.or Improper)",167,495
"Bus Lane, Driving in",0,0
"Cell Phone",545,1370
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,3
"Disobey Steady Red Signal",349,787
"Disobey Traffic Control Device",1287,3308
"Equipment (Other)",10,57
"Fail to Keep Right",1,1
"Fail to Signal",104,281
"Following Too Closely",4,5
"Headlights (Defect. or Improper)",93,412
"Improper Lights",20,105
"Improper Passing",20,53
"Improper Turn",773,2119
"Improper/Missing Plates",2,24
"Not Giving R of W to Pedes.",213,573
"Not Giving R of W to Veh.",28,96
"One Way Street",2,11
"Pavement Markings",104,304
"Safety Belt",718,1821
"School Bus, Passing Stopped",14,26
Speeding,331,738
Spillback,9,33
"Tinted Windows",877,2505
"Truck Routes",41,84
U-Turn,56,162
Uninspected,29,102
Uninsured,338,996
"Unlicensed Operator",567,1495
Unregistered,61,177
"Unsafe Lane Change",4,25
"Other Movers",419,997
"PBQS   TOTAL Movers ",7192,19194
"* All figures are preliminary and subject to change.",,
