"Moving Violations",,
"121st Precinct",,
"   March ",,
121sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,4
"Brake Lights (Defect.or Improper)",25,64
"Bus Lane, Driving in",1,1
"Cell Phone",21,71
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",54,141
"Disobey Traffic Control Device",131,368
"Equipment (Other)",8,16
"Fail to Keep Right",16,16
"Fail to Signal",157,456
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",22,73
"Improper Lights",1,2
"Improper Passing",2,4
"Improper Turn",3,15
"Improper/Missing Plates",8,20
"Not Giving R of W to Pedes.",24,49
"Not Giving R of W to Veh.",8,18
"One Way Street",1,3
"Pavement Markings",114,264
"Safety Belt",46,98
"School Bus, Passing Stopped",1,2
Speeding,75,183
Spillback,3,6
"Tinted Windows",91,287
"Truck Routes",0,0
U-Turn,11,21
Uninspected,2,8
Uninsured,59,157
"Unlicensed Operator",110,288
Unregistered,5,21
"Unsafe Lane Change",1,7
"Other Movers",83,174
"121    TOTAL Movers ",1085,2839
"* All figures are preliminary and subject to change.",,
