81st Precinct,,
   March ,,
081sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,3,4
Brake Lights (Defect.or Improper),104,225
"Bus Lane, Driving in",0,0
Cell Phone,164,420
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,54,118
Disobey Traffic Control Device,102,166
Equipment (Other),11,28
Fail to Keep Right,0,1
Fail to Signal,52,99
Following Too Closely,0,1
Headlights (Defect. or Improper),115,294
Improper Lights,0,1
Improper Passing,0,3
Improper Turn,4,17
Improper/Missing Plates,0,2
Not Giving R of W to Pedes.,38,59
Not Giving R of W to Veh.,13,24
One Way Street,1,3
Pavement Markings,12,38
Safety Belt,171,463
"School Bus, Passing Stopped",1,3
Speeding,43,99
Spillback,4,6
Tinted Windows,219,399
Truck Routes,0,0
U-Turn,0,0
Uninspected,4,9
Uninsured,69,163
Unlicensed Operator,61,160
Unregistered,14,33
Unsafe Lane Change,2,3
Other Movers,55,169
081    TOTAL Movers ,1316,3010
