Staten Island,,
   March ,,
pbsisum,,
"",MTD   2015,YTD   2015
Backing Unsafely,4,11
Brake Lights (Defect.or Improper),87,214
"Bus Lane, Driving in",4,8
Cell Phone,230,521
Commercial Veh on Pkwy,1,4
Defective Brakes,1,3
Disobey Steady Red Signal,191,503
Disobey Traffic Control Device,573,1547
Equipment (Other),28,58
Fail to Keep Right,18,19
Fail to Signal,257,753
Following Too Closely,10,25
Headlights (Defect. or Improper),87,328
Improper Lights,3,7
Improper Passing,10,26
Improper Turn,49,88
Improper/Missing Plates,40,111
Not Giving R of W to Pedes.,53,140
Not Giving R of W to Veh.,22,55
One Way Street,8,19
Pavement Markings,157,373
Safety Belt,444,875
"School Bus, Passing Stopped",11,24
Speeding,451,1189
Spillback,3,8
Tinted Windows,631,1295
Truck Routes,1,7
U-Turn,25,61
Uninspected,36,81
Uninsured,205,548
Unlicensed Operator,387,942
Unregistered,76,176
Unsafe Lane Change,11,42
Other Movers,237,569
PBSI   TOTAL Movers ,4351,10630
