"Moving Violations",,
"84th Precinct",,
"   March ",,
084sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,1
"Brake Lights (Defect.or Improper)",11,28
"Bus Lane, Driving in",0,0
"Cell Phone",86,112
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",59,138
"Disobey Traffic Control Device",159,376
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",30,92
"Following Too Closely",2,2
"Headlights (Defect. or Improper)",8,26
"Improper Lights",0,0
"Improper Passing",14,63
"Improper Turn",100,334
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",60,100
"Not Giving R of W to Veh.",0,2
"One Way Street",2,5
"Pavement Markings",74,199
"Safety Belt",97,133
"School Bus, Passing Stopped",1,1
Speeding,9,34
Spillback,0,0
"Tinted Windows",113,157
"Truck Routes",0,5
U-Turn,3,7
Uninspected,1,1
Uninsured,26,58
"Unlicensed Operator",28,57
Unregistered,6,9
"Unsafe Lane Change",0,0
"Other Movers",16,45
"084    TOTAL Movers ",905,1985
"* All figures are preliminary and subject to change.",,
