"Moving Violations",,
"123rd Precinct",,
"   March ",,
123sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",2,4
"Brake Lights (Defect.or Improper)",24,64
"Bus Lane, Driving in",0,0
"Cell Phone",61,124
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",27,91
"Disobey Traffic Control Device",76,183
"Equipment (Other)",2,4
"Fail to Keep Right",0,1
"Fail to Signal",1,6
"Following Too Closely",2,7
"Headlights (Defect. or Improper)",20,96
"Improper Lights",0,2
"Improper Passing",5,11
"Improper Turn",33,49
"Improper/Missing Plates",10,22
"Not Giving R of W to Pedes.",1,4
"Not Giving R of W to Veh.",3,5
"One Way Street",0,0
"Pavement Markings",18,41
"Safety Belt",169,296
"School Bus, Passing Stopped",7,16
Speeding,162,444
Spillback,0,1
"Tinted Windows",108,238
"Truck Routes",0,1
U-Turn,0,0
Uninspected,16,33
Uninsured,61,150
"Unlicensed Operator",43,84
Unregistered,17,30
"Unsafe Lane Change",0,2
"Other Movers",24,49
"123    TOTAL Movers ",892,2058
"* All figures are preliminary and subject to change.",,
