"Moving Violations",,
"70th Precinct",,
"   March ",,
070sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",4,13
"Brake Lights (Defect.or Improper)",3,3
"Bus Lane, Driving in",0,0
"Cell Phone",239,446
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",85,192
"Disobey Traffic Control Device",320,618
"Equipment (Other)",10,11
"Fail to Keep Right",0,0
"Fail to Signal",10,10
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",2,2
"Improper Lights",9,47
"Improper Passing",10,52
"Improper Turn",314,726
"Improper/Missing Plates",3,3
"Not Giving R of W to Pedes.",115,316
"Not Giving R of W to Veh.",12,48
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",324,594
"School Bus, Passing Stopped",6,9
Speeding,42,96
Spillback,6,12
"Tinted Windows",177,492
"Truck Routes",0,1
U-Turn,0,0
Uninspected,7,7
Uninsured,67,176
"Unlicensed Operator",130,331
Unregistered,21,38
"Unsafe Lane Change",42,76
"Other Movers",68,114
"070    TOTAL Movers ",2026,4437
"* All figures are preliminary and subject to change.",,
