"Moving Violations",,
"Brooklyn South",,
"   April ",,
pbbssum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",37,136
"Brake Lights (Defect.or Improper)",136,693
"Bus Lane, Driving in",26,188
"Cell Phone",2168,6548
"Commercial Veh on Pkwy",1,33
"Defective Brakes",2,8
"Disobey Sign",1777,6588
"Equipment (Other)",49,113
"Fail to Keep Right",1,6
"Fail to Signal",395,1413
"Fail to Stop on Signal",829,3163
"Following Too Closely",11,38
"Headlights (Defect. or Improper)",114,676
"Improper Lights",102,400
"Improper Passing",83,319
"Improper Turn",786,3134
"Improper/Missing Plates",56,183
"Not Giving R of W to Pedes.",474,1868
"Not Giving R of W to Veh.",91,269
"One Way Street",39,168
"Pavement Markings",419,1641
"Safety Belt",1884,5973
"School Bus, Passing Stopped",108,157
Speeding,522,1496
Spillback,60,200
"Tinted Windows",1107,4937
"Truck Routes",140,336
U-Turn,141,649
Uninspected,90,395
Uninsured,728,3433
"Unlicensed Operator",692,2845
Unregistered,146,637
"Unsafe Lane Change",34,169
"Other Movers",685,2344
"PBBS   TOTAL Movers ",13933,51156
"* All figures are preliminary and subject to change.",,
