"Moving Violations",,
"70th Precinct",,
"   April ",,
070sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",7,23
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",283,762
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",109,542
"Equipment (Other)",23,25
"Fail to Keep Right",0,0
"Fail to Signal",0,0
"Fail to Stop on Signal",97,298
"Following Too Closely",1,3
"Headlights (Defect. or Improper)",0,0
"Improper Lights",96,344
"Improper Passing",25,77
"Improper Turn",218,1103
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",100,385
"Not Giving R of W to Veh.",13,35
"One Way Street",0,0
"Pavement Markings",7,7
"Safety Belt",271,891
"School Bus, Passing Stopped",9,15
Speeding,52,102
Spillback,12,67
"Tinted Windows",162,582
"Truck Routes",4,15
U-Turn,0,0
Uninspected,2,15
Uninsured,177,935
"Unlicensed Operator",119,482
Unregistered,9,56
"Unsafe Lane Change",3,30
"Other Movers",40,126
"070    TOTAL Movers ",1840,6921
"* All figures are preliminary and subject to change.",,
