"Moving Violations",,
"67th Precinct",,
"   April ",,
067sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",7,23
"Brake Lights (Defect.or Improper)",22,120
"Bus Lane, Driving in",10,105
"Cell Phone",135,430
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",82,321
"Equipment (Other)",0,1
"Fail to Keep Right",0,2
"Fail to Signal",134,382
"Fail to Stop on Signal",120,528
"Following Too Closely",1,4
"Headlights (Defect. or Improper)",18,97
"Improper Lights",2,3
"Improper Passing",6,29
"Improper Turn",72,270
"Improper/Missing Plates",1,15
"Not Giving R of W to Pedes.",28,91
"Not Giving R of W to Veh.",2,22
"One Way Street",2,7
"Pavement Markings",60,221
"Safety Belt",131,393
"School Bus, Passing Stopped",9,10
Speeding,66,170
Spillback,7,35
"Tinted Windows",142,794
"Truck Routes",5,15
U-Turn,59,249
Uninspected,9,49
Uninsured,55,300
"Unlicensed Operator",79,408
Unregistered,22,93
"Unsafe Lane Change",3,15
"Other Movers",207,660
"067    TOTAL Movers ",1496,5862
"* All figures are preliminary and subject to change.",,
