44th Precinct,,
   April ,,
044sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,21
Brake Lights (Defect.or Improper),34,140
"Bus Lane, Driving in",1,1
Cell Phone,63,235
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,194,623
Equipment (Other),8,36
Fail to Keep Right,0,0
Fail to Signal,8,47
Fail to Stop on Signal,53,119
Following Too Closely,2,2
Headlights (Defect. or Improper),36,164
Improper Lights,0,0
Improper Passing,0,0
Improper Turn,6,21
Improper/Missing Plates,9,35
Not Giving R of W to Pedes.,5,62
Not Giving R of W to Veh.,0,4
One Way Street,2,9
Pavement Markings,36,75
Safety Belt,165,494
"School Bus, Passing Stopped",8,18
Speeding,59,226
Spillback,0,21
Tinted Windows,83,277
Truck Routes,0,11
U-Turn,8,21
Uninspected,9,27
Uninsured,51,137
Unlicensed Operator,80,230
Unregistered,34,86
Unsafe Lane Change,1,2
Other Movers,19,59
044    TOTAL Movers ,977,3203
