"Moving Violations",,
"62nd Precinct",,
"   April ",,
062sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,7
"Brake Lights (Defect.or Improper)",9,46
"Bus Lane, Driving in",0,0
"Cell Phone",85,343
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",297,831
"Equipment (Other)",3,5
"Fail to Keep Right",1,2
"Fail to Signal",27,118
"Fail to Stop on Signal",48,293
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",6,24
"Improper Lights",3,24
"Improper Passing",9,30
"Improper Turn",18,93
"Improper/Missing Plates",6,20
"Not Giving R of W to Pedes.",31,164
"Not Giving R of W to Veh.",19,34
"One Way Street",13,52
"Pavement Markings",7,63
"Safety Belt",139,361
"School Bus, Passing Stopped",10,18
Speeding,26,115
Spillback,1,1
"Tinted Windows",77,317
"Truck Routes",1,7
U-Turn,2,40
Uninspected,0,3
Uninsured,38,180
"Unlicensed Operator",51,213
Unregistered,5,47
"Unsafe Lane Change",4,26
"Other Movers",35,182
"062    TOTAL Movers ",971,3661
"* All figures are preliminary and subject to change.",,
