"Moving Violations",,
"Midtown South Precinct",,
"   April ",,
014sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,11
"Brake Lights (Defect.or Improper)",81,216
"Bus Lane, Driving in",0,0
"Cell Phone",315,911
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",395,1100
"Equipment (Other)",0,10
"Fail to Keep Right",0,3
"Fail to Signal",21,71
"Fail to Stop on Signal",34,161
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",116,616
"Improper Lights",0,6
"Improper Passing",0,0
"Improper Turn",294,890
"Improper/Missing Plates",1,3
"Not Giving R of W to Pedes.",144,465
"Not Giving R of W to Veh.",3,4
"One Way Street",6,23
"Pavement Markings",8,31
"Safety Belt",186,832
"School Bus, Passing Stopped",2,2
Speeding,2,8
Spillback,77,329
"Tinted Windows",53,225
"Truck Routes",37,100
U-Turn,19,121
Uninspected,2,6
Uninsured,127,412
"Unlicensed Operator",45,163
Unregistered,12,74
"Unsafe Lane Change",5,38
"Other Movers",98,360
"014    TOTAL Movers ",2084,7192
"* All figures are preliminary and subject to change.",,
