"Moving Violations",,
"60th Precinct",,
"   April ",,
060sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,4
"Brake Lights (Defect.or Improper)",6,26
"Bus Lane, Driving in",0,0
"Cell Phone",175,460
"Commercial Veh on Pkwy",0,0
"Defective Brakes",2,4
"Disobey Sign",146,654
"Equipment (Other)",1,2
"Fail to Keep Right",0,0
"Fail to Signal",10,59
"Fail to Stop on Signal",28,98
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",14,60
"Improper Lights",0,6
"Improper Passing",0,2
"Improper Turn",19,111
"Improper/Missing Plates",1,3
"Not Giving R of W to Pedes.",21,74
"Not Giving R of W to Veh.",1,4
"One Way Street",0,1
"Pavement Markings",2,24
"Safety Belt",88,276
"School Bus, Passing Stopped",11,12
Speeding,39,153
Spillback,0,0
"Tinted Windows",75,400
"Truck Routes",0,0
U-Turn,6,59
Uninspected,0,4
Uninsured,18,108
"Unlicensed Operator",25,119
Unregistered,7,19
"Unsafe Lane Change",1,6
"Other Movers",29,135
"060    TOTAL Movers ",725,2883
"* All figures are preliminary and subject to change.",,
