"Moving Violations",,
"101st Precinct",,
"   April ",,
101sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",3,13
"Brake Lights (Defect.or Improper)",94,409
"Bus Lane, Driving in",0,0
"Cell Phone",64,178
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",72,379
"Equipment (Other)",32,112
"Fail to Keep Right",0,0
"Fail to Signal",4,20
"Fail to Stop on Signal",37,108
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",129,633
"Improper Lights",0,3
"Improper Passing",2,16
"Improper Turn",19,51
"Improper/Missing Plates",1,15
"Not Giving R of W to Pedes.",17,52
"Not Giving R of W to Veh.",1,3
"One Way Street",1,4
"Pavement Markings",7,19
"Safety Belt",50,253
"School Bus, Passing Stopped",8,11
Speeding,63,147
Spillback,0,0
"Tinted Windows",95,523
"Truck Routes",0,0
U-Turn,1,2
Uninspected,21,103
Uninsured,224,1088
"Unlicensed Operator",164,746
Unregistered,18,91
"Unsafe Lane Change",1,2
"Other Movers",34,135
"101    TOTAL Movers ",1162,5119
"* All figures are preliminary and subject to change.",,
