107th Precinct,,
   April ,,
107sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,4
Brake Lights (Defect.or Improper),61,301
"Bus Lane, Driving in",0,0
Cell Phone,91,349
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,171,536
Equipment (Other),2,6
Fail to Keep Right,0,0
Fail to Signal,1,1
Fail to Stop on Signal,27,79
Following Too Closely,0,0
Headlights (Defect. or Improper),19,127
Improper Lights,3,40
Improper Passing,3,11
Improper Turn,322,889
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,18,54
Not Giving R of W to Veh.,9,36
One Way Street,0,4
Pavement Markings,8,46
Safety Belt,233,711
"School Bus, Passing Stopped",7,10
Speeding,41,156
Spillback,0,2
Tinted Windows,44,228
Truck Routes,0,6
U-Turn,3,30
Uninspected,1,9
Uninsured,33,150
Unlicensed Operator,65,255
Unregistered,2,10
Unsafe Lane Change,0,0
Other Movers,43,130
107    TOTAL Movers ,1210,4180
