"Moving Violations",,
"71st Precinct",,
"   April ",,
071sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",6,20
"Brake Lights (Defect.or Improper)",28,108
"Bus Lane, Driving in",15,81
"Cell Phone",193,576
"Commercial Veh on Pkwy",1,3
"Defective Brakes",0,0
"Disobey Sign",418,1421
"Equipment (Other)",12,54
"Fail to Keep Right",0,0
"Fail to Signal",60,251
"Fail to Stop on Signal",96,410
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",13,59
"Improper Lights",0,2
"Improper Passing",6,23
"Improper Turn",93,298
"Improper/Missing Plates",21,66
"Not Giving R of W to Pedes.",52,253
"Not Giving R of W to Veh.",27,91
"One Way Street",9,43
"Pavement Markings",65,313
"Safety Belt",108,329
"School Bus, Passing Stopped",10,14
Speeding,35,92
Spillback,10,23
"Tinted Windows",166,774
"Truck Routes",15,44
U-Turn,12,31
Uninspected,65,236
Uninsured,119,426
"Unlicensed Operator",90,364
Unregistered,20,112
"Unsafe Lane Change",4,9
"Other Movers",51,223
"071    TOTAL Movers ",1820,6752
"* All figures are preliminary and subject to change.",,
