9th Precinct,,
   April ,,
009sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,4
Brake Lights (Defect.or Improper),6,28
"Bus Lane, Driving in",0,3
Cell Phone,188,760
Commercial Veh on Pkwy,0,0
Defective Brakes,0,1
Disobey Sign,160,575
Equipment (Other),4,50
Fail to Keep Right,0,0
Fail to Signal,3,35
Fail to Stop on Signal,100,394
Following Too Closely,3,5
Headlights (Defect. or Improper),12,56
Improper Lights,0,1
Improper Passing,1,7
Improper Turn,75,316
Improper/Missing Plates,1,10
Not Giving R of W to Pedes.,28,95
Not Giving R of W to Veh.,0,2
One Way Street,2,14
Pavement Markings,33,80
Safety Belt,92,325
"School Bus, Passing Stopped",8,8
Speeding,3,7
Spillback,1,3
Tinted Windows,10,66
Truck Routes,0,0
U-Turn,1,4
Uninspected,3,11
Uninsured,16,90
Unlicensed Operator,29,109
Unregistered,6,18
Unsafe Lane Change,6,16
Other Movers,24,119
009    TOTAL Movers ,815,3212
