Queens South,,
   April ,,
pbqssum,,
"",MTD   2014,YTD   2014
Backing Unsafely,17,60
Brake Lights (Defect.or Improper),333,1512
"Bus Lane, Driving in",0,0
Cell Phone,911,3141
Commercial Veh on Pkwy,0,0
Defective Brakes,0,18
Disobey Sign,1209,4598
Equipment (Other),59,226
Fail to Keep Right,0,0
Fail to Signal,75,337
Fail to Stop on Signal,276,1210
Following Too Closely,2,9
Headlights (Defect. or Improper),234,1129
Improper Lights,34,166
Improper Passing,29,102
Improper Turn,877,2998
Improper/Missing Plates,19,89
Not Giving R of W to Pedes.,225,733
Not Giving R of W to Veh.,42,120
One Way Street,14,33
Pavement Markings,166,742
Safety Belt,1191,4167
"School Bus, Passing Stopped",57,85
Speeding,261,898
Spillback,12,53
Tinted Windows,987,4270
Truck Routes,36,78
U-Turn,96,429
Uninspected,75,373
Uninsured,738,3172
Unlicensed Operator,715,2869
Unregistered,101,437
Unsafe Lane Change,7,65
Other Movers,501,1671
PBQS   TOTAL Movers ,9299,35790
