28th Precinct,,
   April ,,
028sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,4
Brake Lights (Defect.or Improper),4,40
"Bus Lane, Driving in",0,0
Cell Phone,115,488
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,106,385
Equipment (Other),8,15
Fail to Keep Right,0,3
Fail to Signal,8,25
Fail to Stop on Signal,65,218
Following Too Closely,1,1
Headlights (Defect. or Improper),7,28
Improper Lights,0,0
Improper Passing,0,3
Improper Turn,49,244
Improper/Missing Plates,1,2
Not Giving R of W to Pedes.,41,169
Not Giving R of W to Veh.,5,8
One Way Street,0,4
Pavement Markings,7,17
Safety Belt,93,409
"School Bus, Passing Stopped",7,10
Speeding,69,222
Spillback,1,6
Tinted Windows,28,109
Truck Routes,2,19
U-Turn,72,205
Uninspected,5,46
Uninsured,5,49
Unlicensed Operator,20,64
Unregistered,6,20
Unsafe Lane Change,4,8
Other Movers,37,164
028    TOTAL Movers ,766,2985
