114th Precinct,,
   April ,,
114sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,4
Brake Lights (Defect.or Improper),0,0
"Bus Lane, Driving in",0,0
Cell Phone,182,865
Commercial Veh on Pkwy,1,3
Defective Brakes,0,0
Disobey Sign,341,1166
Equipment (Other),1,2
Fail to Keep Right,0,0
Fail to Signal,9,69
Fail to Stop on Signal,75,321
Following Too Closely,0,1
Headlights (Defect. or Improper),0,0
Improper Lights,11,50
Improper Passing,4,13
Improper Turn,44,135
Improper/Missing Plates,1,1
Not Giving R of W to Pedes.,40,120
Not Giving R of W to Veh.,2,8
One Way Street,3,18
Pavement Markings,42,224
Safety Belt,128,574
"School Bus, Passing Stopped",1,3
Speeding,56,221
Spillback,0,3
Tinted Windows,70,341
Truck Routes,1,47
U-Turn,0,0
Uninspected,1,14
Uninsured,58,243
Unlicensed Operator,79,315
Unregistered,3,5
Unsafe Lane Change,0,0
Other Movers,39,183
114    TOTAL Movers ,1193,4949
