"Moving Violations",,
"115th Precinct",,
"   April ",,
115sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",3,12
"Brake Lights (Defect.or Improper)",0,1
"Bus Lane, Driving in",0,0
"Cell Phone",77,331
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",271,724
"Equipment (Other)",30,97
"Fail to Keep Right",0,0
"Fail to Signal",12,95
"Fail to Stop on Signal",36,314
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,8
"Improper Lights",157,615
"Improper Passing",8,22
"Improper Turn",50,264
"Improper/Missing Plates",10,53
"Not Giving R of W to Pedes.",42,192
"Not Giving R of W to Veh.",2,9
"One Way Street",3,15
"Pavement Markings",9,34
"Safety Belt",277,1011
"School Bus, Passing Stopped",10,14
Speeding,43,91
Spillback,1,4
"Tinted Windows",150,713
"Truck Routes",17,86
U-Turn,0,8
Uninspected,32,177
Uninsured,349,1264
"Unlicensed Operator",447,2012
Unregistered,43,161
"Unsafe Lane Change",0,2
"Other Movers",113,465
"115    TOTAL Movers ",2192,8794
"* All figures are preliminary and subject to change.",,
