68th Precinct,,
   April ,,
068sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,4
Brake Lights (Defect.or Improper),36,119
"Bus Lane, Driving in",0,1
Cell Phone,183,496
Commercial Veh on Pkwy,0,14
Defective Brakes,0,0
Disobey Sign,73,367
Equipment (Other),2,2
Fail to Keep Right,0,1
Fail to Signal,7,34
Fail to Stop on Signal,76,235
Following Too Closely,0,1
Headlights (Defect. or Improper),20,98
Improper Lights,0,0
Improper Passing,2,4
Improper Turn,128,329
Improper/Missing Plates,1,3
Not Giving R of W to Pedes.,80,266
Not Giving R of W to Veh.,1,3
One Way Street,0,0
Pavement Markings,8,31
Safety Belt,182,518
"School Bus, Passing Stopped",5,8
Speeding,81,174
Spillback,1,8
Tinted Windows,35,176
Truck Routes,8,64
U-Turn,2,12
Uninspected,0,1
Uninsured,74,241
Unlicensed Operator,53,193
Unregistered,12,39
Unsafe Lane Change,2,6
Other Movers,35,110
068    TOTAL Movers ,1107,3558
