"Moving Violations",,
"72nd Precinct",,
"   April ",,
072sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",3,10
"Brake Lights (Defect.or Improper)",1,14
"Bus Lane, Driving in",0,0
"Cell Phone",81,277
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",90,455
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",12,41
"Fail to Stop on Signal",110,402
"Following Too Closely",5,19
"Headlights (Defect. or Improper)",9,34
"Improper Lights",0,1
"Improper Passing",1,3
"Improper Turn",41,163
"Improper/Missing Plates",19,49
"Not Giving R of W to Pedes.",25,128
"Not Giving R of W to Veh.",11,29
"One Way Street",2,21
"Pavement Markings",78,264
"Safety Belt",68,247
"School Bus, Passing Stopped",11,23
Speeding,50,125
Spillback,2,4
"Tinted Windows",49,165
"Truck Routes",1,11
U-Turn,28,114
Uninspected,4,16
Uninsured,49,242
"Unlicensed Operator",64,266
Unregistered,15,70
"Unsafe Lane Change",9,40
"Other Movers",46,204
"072    TOTAL Movers ",884,3437
"* All figures are preliminary and subject to change.",,
