"Moving Violations",,
Citywide,,
"   April ",,
citysum,,
"Offense Description","MTD 2014  ","YTD 2014  "
"Backing Unsafely",200,751
"Brake Lights (Defect.or Improper)",2058,9795
"Bus Lane, Driving in",272,1089
"Cell Phone",10608,38666
"Commercial Veh on Pkwy",121,477
"Defective Brakes",39,115
"Disobey Sign",17882,54789
"Equipment (Other)",732,3206
"Fail to Keep Right",19,95
"Fail to Signal",1819,7820
"Fail to Stop on Signal",4516,16709
"Following Too Closely",122,455
"Headlights (Defect. or Improper)",1926,10051
"Improper Lights",377,1572
"Improper Passing",398,1459
"Improper Turn",6594,24854
"Improper/Missing Plates",314,1149
"Not Giving R of W to Pedes.",2563,9822
"Not Giving R of W to Veh.",309,1093
"One Way Street",386,1315
"Pavement Markings",2572,9776
"Safety Belt",9372,33288
"School Bus, Passing Stopped",1259,1642
Speeding,8407,33419
Spillback,443,1626
"Tinted Windows",7113,30756
"Truck Routes",471,1863
U-Turn,636,2961
Uninspected,524,2793
Uninsured,4487,19511
"Unlicensed Operator",5194,20681
Unregistered,1113,4504
"Unsafe Lane Change",385,1703
"Other Movers",5870,21765
"TOTAL Movers ",99101,371570
,,
"* All figures are preliminary and subject to change.",,
