"Moving Violations",,
"88th Precinct",,
"   April ",,
088sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,5
"Brake Lights (Defect.or Improper)",15,56
"Bus Lane, Driving in",0,0
"Cell Phone",248,818
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",170,588
"Equipment (Other)",2,2
"Fail to Keep Right",0,0
"Fail to Signal",3,16
"Fail to Stop on Signal",63,174
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",22,95
"Improper Lights",0,0
"Improper Passing",0,3
"Improper Turn",3,22
"Improper/Missing Plates",4,9
"Not Giving R of W to Pedes.",3,17
"Not Giving R of W to Veh.",4,4
"One Way Street",0,5
"Pavement Markings",23,71
"Safety Belt",153,421
"School Bus, Passing Stopped",3,3
Speeding,12,57
Spillback,3,3
"Tinted Windows",14,33
"Truck Routes",0,0
U-Turn,0,1
Uninspected,6,31
Uninsured,48,175
"Unlicensed Operator",24,98
Unregistered,5,32
"Unsafe Lane Change",1,1
"Other Movers",66,161
"088    TOTAL Movers ",895,2901
"* All figures are preliminary and subject to change.",,
