26th Precinct,,
   April ,,
026sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,2
Brake Lights (Defect.or Improper),12,66
"Bus Lane, Driving in",0,0
Cell Phone,55,413
Commercial Veh on Pkwy,0,4
Defective Brakes,0,1
Disobey Sign,16,112
Equipment (Other),6,6
Fail to Keep Right,0,1
Fail to Signal,8,15
Fail to Stop on Signal,37,108
Following Too Closely,0,0
Headlights (Defect. or Improper),8,46
Improper Lights,0,1
Improper Passing,0,2
Improper Turn,61,265
Improper/Missing Plates,0,2
Not Giving R of W to Pedes.,34,207
Not Giving R of W to Veh.,0,3
One Way Street,0,4
Pavement Markings,24,117
Safety Belt,14,78
"School Bus, Passing Stopped",2,2
Speeding,43,268
Spillback,0,0
Tinted Windows,3,39
Truck Routes,0,0
U-Turn,2,23
Uninspected,3,7
Uninsured,5,46
Unlicensed Operator,19,87
Unregistered,3,22
Unsafe Lane Change,2,5
Other Movers,9,52
026    TOTAL Movers ,366,2004
