49th Precinct,,
   April ,,
049sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,2
Brake Lights (Defect.or Improper),47,211
"Bus Lane, Driving in",0,1
Cell Phone,56,191
Commercial Veh on Pkwy,0,1
Defective Brakes,3,7
Disobey Sign,57,324
Equipment (Other),0,3
Fail to Keep Right,0,0
Fail to Signal,67,248
Fail to Stop on Signal,10,38
Following Too Closely,1,4
Headlights (Defect. or Improper),15,139
Improper Lights,0,0
Improper Passing,0,0
Improper Turn,14,68
Improper/Missing Plates,0,7
Not Giving R of W to Pedes.,3,22
Not Giving R of W to Veh.,0,8
One Way Street,2,6
Pavement Markings,93,208
Safety Belt,139,369
"School Bus, Passing Stopped",4,15
Speeding,21,57
Spillback,0,0
Tinted Windows,56,270
Truck Routes,0,1
U-Turn,1,11
Uninspected,2,19
Uninsured,23,106
Unlicensed Operator,67,226
Unregistered,6,33
Unsafe Lane Change,2,10
Other Movers,18,58
049    TOTAL Movers ,707,2663
