47th Precinct,,
   April ,,
047sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,2
Brake Lights (Defect.or Improper),27,113
"Bus Lane, Driving in",0,0
Cell Phone,23,145
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,30,127
Equipment (Other),0,0
Fail to Keep Right,1,2
Fail to Signal,1,1
Fail to Stop on Signal,13,61
Following Too Closely,0,3
Headlights (Defect. or Improper),47,126
Improper Lights,0,0
Improper Passing,0,1
Improper Turn,67,237
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,14,67
Not Giving R of W to Veh.,2,9
One Way Street,0,0
Pavement Markings,3,28
Safety Belt,90,404
"School Bus, Passing Stopped",6,20
Speeding,20,106
Spillback,0,0
Tinted Windows,36,246
Truck Routes,0,0
U-Turn,0,0
Uninspected,10,71
Uninsured,88,428
Unlicensed Operator,47,205
Unregistered,37,136
Unsafe Lane Change,1,8
Other Movers,21,66
047    TOTAL Movers ,585,2612
