69th Precinct,,
   April ,,
069sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,4,15
Brake Lights (Defect.or Improper),21,101
"Bus Lane, Driving in",1,1
Cell Phone,199,685
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,92,346
Equipment (Other),6,18
Fail to Keep Right,0,0
Fail to Signal,5,9
Fail to Stop on Signal,34,134
Following Too Closely,1,1
Headlights (Defect. or Improper),19,91
Improper Lights,0,9
Improper Passing,26,120
Improper Turn,87,271
Improper/Missing Plates,4,9
Not Giving R of W to Pedes.,8,37
Not Giving R of W to Veh.,3,15
One Way Street,0,0
Pavement Markings,15,93
Safety Belt,225,742
"School Bus, Passing Stopped",17,19
Speeding,28,110
Spillback,4,5
Tinted Windows,180,673
Truck Routes,10,18
U-Turn,0,1
Uninspected,3,29
Uninsured,87,386
Unlicensed Operator,52,171
Unregistered,23,73
Unsafe Lane Change,0,0
Other Movers,61,203
069    TOTAL Movers ,1215,4385
