"Moving Violations",,
"120th Precinct",,
"   April ",,
120sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",4,9
"Brake Lights (Defect.or Improper)",30,266
"Bus Lane, Driving in",0,0
"Cell Phone",87,344
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",213,682
"Equipment (Other)",18,71
"Fail to Keep Right",2,6
"Fail to Signal",42,295
"Fail to Stop on Signal",58,277
"Following Too Closely",0,6
"Headlights (Defect. or Improper)",23,238
"Improper Lights",2,2
"Improper Passing",5,11
"Improper Turn",12,23
"Improper/Missing Plates",23,64
"Not Giving R of W to Pedes.",40,109
"Not Giving R of W to Veh.",7,12
"One Way Street",1,8
"Pavement Markings",89,259
"Safety Belt",101,346
"School Bus, Passing Stopped",13,19
Speeding,68,253
Spillback,0,1
"Tinted Windows",36,183
"Truck Routes",0,0
U-Turn,1,15
Uninspected,13,96
Uninsured,41,259
"Unlicensed Operator",121,523
Unregistered,29,117
"Unsafe Lane Change",1,8
"Other Movers",121,466
"120    TOTAL Movers ",1201,4968
"* All figures are preliminary and subject to change.",,
