77th Precinct,,
   April ,,
077sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,13
Brake Lights (Defect.or Improper),92,514
"Bus Lane, Driving in",1,1
Cell Phone,112,418
Commercial Veh on Pkwy,0,0
Defective Brakes,19,21
Disobey Sign,162,485
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,10,41
Fail to Stop on Signal,94,331
Following Too Closely,0,7
Headlights (Defect. or Improper),176,777
Improper Lights,0,0
Improper Passing,1,17
Improper Turn,55,262
Improper/Missing Plates,1,1
Not Giving R of W to Pedes.,15,93
Not Giving R of W to Veh.,2,18
One Way Street,0,14
Pavement Markings,23,77
Safety Belt,50,203
"School Bus, Passing Stopped",8,10
Speeding,77,253
Spillback,9,24
Tinted Windows,101,451
Truck Routes,0,13
U-Turn,9,73
Uninspected,3,35
Uninsured,115,367
Unlicensed Operator,70,255
Unregistered,21,89
Unsafe Lane Change,0,2
Other Movers,92,397
077    TOTAL Movers ,1320,5262
