50th Precinct,,
   April ,,
050sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,3
Brake Lights (Defect.or Improper),5,46
"Bus Lane, Driving in",0,0
Cell Phone,41,231
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,223,959
Equipment (Other),0,5
Fail to Keep Right,1,3
Fail to Signal,1,11
Fail to Stop on Signal,10,43
Following Too Closely,0,0
Headlights (Defect. or Improper),12,63
Improper Lights,0,0
Improper Passing,0,0
Improper Turn,86,265
Improper/Missing Plates,0,1
Not Giving R of W to Pedes.,15,64
Not Giving R of W to Veh.,1,2
One Way Street,0,4
Pavement Markings,1,8
Safety Belt,28,133
"School Bus, Passing Stopped",7,12
Speeding,12,116
Spillback,0,2
Tinted Windows,58,283
Truck Routes,0,0
U-Turn,2,7
Uninspected,0,3
Uninsured,18,61
Unlicensed Operator,20,62
Unregistered,13,18
Unsafe Lane Change,2,12
Other Movers,14,83
050    TOTAL Movers ,570,2500
