"Moving Violations",,
"40th Precinct",,
"   April ",,
040sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,8
"Brake Lights (Defect.or Improper)",31,156
"Bus Lane, Driving in",0,0
"Cell Phone",125,328
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",168,432
"Equipment (Other)",11,45
"Fail to Keep Right",3,6
"Fail to Signal",14,85
"Fail to Stop on Signal",63,227
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",52,298
"Improper Lights",0,2
"Improper Passing",1,7
"Improper Turn",119,477
"Improper/Missing Plates",2,8
"Not Giving R of W to Pedes.",47,205
"Not Giving R of W to Veh.",5,46
"One Way Street",1,8
"Pavement Markings",14,35
"Safety Belt",85,224
"School Bus, Passing Stopped",10,29
Speeding,66,236
Spillback,8,38
"Tinted Windows",189,953
"Truck Routes",0,11
U-Turn,5,43
Uninspected,1,5
Uninsured,82,388
"Unlicensed Operator",79,339
Unregistered,18,55
"Unsafe Lane Change",4,8
"Other Movers",49,156
"040    TOTAL Movers ",1253,4861
"* All figures are preliminary and subject to change.",,
