52nd Precinct,,
   April ,,
052sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,7
Brake Lights (Defect.or Improper),76,370
"Bus Lane, Driving in",3,4
Cell Phone,38,226
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,66,310
Equipment (Other),9,19
Fail to Keep Right,0,2
Fail to Signal,16,49
Fail to Stop on Signal,37,183
Following Too Closely,0,0
Headlights (Defect. or Improper),48,251
Improper Lights,2,20
Improper Passing,1,2
Improper Turn,108,431
Improper/Missing Plates,1,21
Not Giving R of W to Pedes.,12,63
Not Giving R of W to Veh.,0,2
One Way Street,0,0
Pavement Markings,45,173
Safety Belt,34,129
"School Bus, Passing Stopped",1,2
Speeding,34,221
Spillback,0,1
Tinted Windows,311,909
Truck Routes,3,10
U-Turn,9,43
Uninspected,6,132
Uninsured,10,147
Unlicensed Operator,96,371
Unregistered,12,118
Unsafe Lane Change,3,8
Other Movers,54,111
052    TOTAL Movers ,1037,4335
