"Moving Violations",,
"Midtown North Precinct",,
"   April ",,
018sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,4
"Brake Lights (Defect.or Improper)",33,106
"Bus Lane, Driving in",4,15
"Cell Phone",233,776
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",83,535
"Equipment (Other)",0,4
"Fail to Keep Right",0,3
"Fail to Signal",20,98
"Fail to Stop on Signal",64,286
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",31,126
"Improper Lights",0,0
"Improper Passing",0,1
"Improper Turn",333,1378
"Improper/Missing Plates",14,26
"Not Giving R of W to Pedes.",10,56
"Not Giving R of W to Veh.",0,1
"One Way Street",18,51
"Pavement Markings",21,60
"Safety Belt",197,605
"School Bus, Passing Stopped",6,10
Speeding,1,13
Spillback,20,48
"Tinted Windows",23,77
"Truck Routes",0,0
U-Turn,16,53
Uninspected,6,7
Uninsured,61,242
"Unlicensed Operator",27,112
Unregistered,28,90
"Unsafe Lane Change",4,22
"Other Movers",41,139
"018    TOTAL Movers ",1294,4945
"* All figures are preliminary and subject to change.",,
