Brooklyn North,,
   March ,,
"","",""
Backing Unsafely,10,25
Bike Lane,4,14
Bus Lane,5,7
Cell Phone,540,1603
Commercial Veh on Pkwy,1,9
Cruising For Passengers,0,0
Disobey Traffic Control Device,2547,7958
Driving Too Slow,2,3
Equipment,270,998
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,3,6
Fail to yield Right of Way to Pedestrian,433,1364
Failure to Signal,187,644
Following Too Closely,2,7
Improper Passing,20,55
Improper Taxi Pickup,0,0
Improper Turn,516,1546
Improper/Missing Plates,10,23
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),3,10
Not Giving R of W to Veh.,13,59
Obstructed Plate,52,183
One Way Street,95,286
Overheight,0,0
Overlength,1,3
Overweight,0,0
Overwidth,0,0
Pavement Markings,9,14
Red Light,1194,3255
School Bus,5,18
Scooter In NYC,0,0
Seat Belt,797,2436
Speeding,708,2018
Spillback,4,21
TBTA Rule,0,0
Tints,719,2119
TLC (Other),0,0
Truck Route,54,200
Uninspected,24,89
Uninsured,133,433
Unlicensed Operator,619,1817
Unregistered,104,358
Unsafe Lane Change,6,26
Other Movers,1187,3346
PBBNTOTAL Movers ,10277,30954
