Brooklyn South,,
   March ,,
"","",""
Backing Unsafely,14,36
Bike Lane,4,15
Bus Lane,2,12
Cell Phone,763,2378
Commercial Veh on Pkwy,14,45
Cruising For Passengers,0,1
Disobey Traffic Control Device,2144,6515
Driving Too Slow,1,2
Equipment,265,725
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,1,5
Fail to yield Right of Way to Pedestrian,909,2760
Failure to Signal,295,953
Following Too Closely,1,8
Improper Passing,28,115
Improper Taxi Pickup,0,2
Improper Turn,598,1706
Improper/Missing Plates,12,39
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),13,27
Not Giving R of W to Veh.,20,75
Obstructed Plate,113,310
One Way Street,37,105
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,1,1
Red Light,886,3095
School Bus,18,59
Scooter In NYC,2,2
Seat Belt,979,3098
Speeding,893,2519
Spillback,7,17
TBTA Rule,0,0
Tints,913,2611
TLC (Other),0,0
Truck Route,27,63
Uninspected,45,134
Uninsured,227,638
Unlicensed Operator,645,1946
Unregistered,116,339
Unsafe Lane Change,26,88
Other Movers,1077,3003
PBBSTOTAL Movers ,11096,33447
