"Moving Violations",,
"Patrol Bureau",,
"   March ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",79,235
"Bike Lane",36,86
"Bus Lane",89,187
"Cell Phone",4210,12463
"Commercial Veh on Pkwy",24,75
"Cruising For Passengers",1,4
"Disobey Traffic Control Device",15562,48906
"Driving Too Slow",4,13
Equipment,2043,6415
"Equipment (Other)",0,6
"Excessive Noise",0,1
"Fail to Keep Right",9,38
"Fail to yield Right of Way to Pedestrian",4984,14762
"Failure to Signal",1522,5370
"Following Too Closely",26,78
"Improper Passing",154,469
"Improper Taxi Pickup",59,156
"Improper Turn",7360,20891
"Improper/Missing Plates",65,219
"Lamps and Other Equipment on Bicycle",5,25
"Motorcycle (Other)",48,99
"Not Giving R of W to Veh.",118,397
"Obstructed Plate",554,1734
"One Way Street",315,1103
Overheight,0,1
Overlength,1,7
Overweight,0,0
Overwidth,0,0
"Pavement Markings",18,48
"Red Light",5850,17939
"School Bus",124,401
"Scooter In NYC",2,2
"Seat Belt",5380,16496
Speeding,6457,18564
Spillback,178,293
"TBTA Rule",0,0
Tints,4406,13035
"TLC (Other)",0,0
"Truck Route",170,566
Uninspected,213,821
Uninsured,1235,3776
"Unlicensed Operator",3991,12051
Unregistered,699,2187
"Unsafe Lane Change",246,804
"Other Movers",6626,18956
"PATROLTOTAL Movers ",72863,219679
"* All figures are preliminary and subject to change.",,
