"Moving Violations",,
"46th Precinct",,
"    July ",,
046sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",4,38
"Brake Lights (Defect.or Improper)",0,78
"Bus Lane, Driving in",0,21
"Cell Phone",73,394
"Commercial Veh on Pkwy",0,0
"Defective Brakes",2,2
"Disobey Steady Red Signal",22,360
"Disobey Traffic Control Device",188,1056
"Equipment (Other)",0,20
"Fail to Keep Right",0,1
"Fail to Signal",11,128
"Following Too Closely",1,8
"Headlights (Defect. or Improper)",0,43
"Improper Lights",0,0
"Improper Passing",2,9
"Improper Turn",103,554
"Improper/Missing Plates",0,5
"Not Giving R of W to Pedes.",44,404
"Not Giving R of W to Veh.",0,33
"One Way Street",0,17
"Pavement Markings",10,122
"Safety Belt",79,427
"School Bus, Passing Stopped",2,62
Speeding,82,481
Spillback,0,4
"Tinted Windows",306,1768
"Truck Routes",0,0
U-Turn,4,72
Uninspected,1,9
Uninsured,72,493
"Unlicensed Operator",60,371
Unregistered,15,112
"Unsafe Lane Change",6,37
"Other Movers",156,862
"046TOTAL Movers ",1243,7991
,,
"* All figures are preliminary and subject to change.",,
