"Moving Violations",,
"Midtown South Precinct",,
"    July ",,
014sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",1,15
"Brake Lights (Defect.or Improper)",29,149
"Bus Lane, Driving in",0,0
"Cell Phone",171,1647
"Commercial Veh on Pkwy",0,3
"Defective Brakes",0,5
"Disobey Steady Red Signal",43,328
"Disobey Traffic Control Device",238,2331
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",69,662
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",27,184
"Improper Lights",0,2
"Improper Passing",0,15
"Improper Turn",285,1742
"Improper/Missing Plates",0,2
"Not Giving R of W to Pedes.",184,1334
"Not Giving R of W to Veh.",2,6
"One Way Street",10,177
"Pavement Markings",6,33
"Safety Belt",119,1243
"School Bus, Passing Stopped",0,0
Speeding,21,143
Spillback,52,465
"Tinted Windows",9,177
"Truck Routes",15,148
U-Turn,23,194
Uninspected,0,8
Uninsured,34,415
"Unlicensed Operator",22,231
Unregistered,10,101
"Unsafe Lane Change",17,162
"Other Movers",91,856
"014TOTAL Movers ",1478,12778
,,
"* All figures are preliminary and subject to change.",,
