"Moving Violations",,
"Transportation Bureau",,
"    July ",,
cotsum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",13,73
"Brake Lights (Defect.or Improper)",78,448
"Bus Lane, Driving in",289,1251
"Cell Phone",627,4471
"Commercial Veh on Pkwy",92,741
"Defective Brakes",6,25
"Disobey Steady Red Signal",395,3074
"Disobey Traffic Control Device",1588,15132
"Equipment (Other)",1009,3962
"Fail to Keep Right",0,19
"Fail to Signal",348,2297
"Following Too Closely",76,544
"Headlights (Defect. or Improper)",23,188
"Improper Lights",33,110
"Improper Passing",131,635
"Improper Turn",532,3292
"Improper/Missing Plates",82,440
"Not Giving R of W to Pedes.",514,1807
"Not Giving R of W to Veh.",49,240
"One Way Street",100,662
"Pavement Markings",227,1952
"Safety Belt",537,4331
"School Bus, Passing Stopped",0,507
Speeding,8296,51902
Spillback,33,228
"Tinted Windows",573,4336
"Truck Routes",144,350
U-Turn,2,35
Uninspected,101,556
Uninsured,170,958
"Unlicensed Operator",569,3203
Unregistered,125,753
"Unsafe Lane Change",112,679
"Other Movers",2558,14099
"TCDTOTAL Movers ",19432,123300
"* Transportation Bureau is a citywide unit whose activity is not tracked by Precinct.",,
"* All figures are preliminary and subject to change.",,
